date,estimatedCases,estimatedCasesCILower,estimatedCasesCIUpper
2021-12-02,0,0,168
2021-12-03,0,0,177
2021-12-04,0,0,185
2021-12-05,0,0,170
2021-12-06,0,0,172
2021-12-07,0,0,188
2021-12-08,0,0,228
2021-12-09,0,0,249
2021-12-10,0,0,234
2021-12-11,0,0,176
2021-12-12,0,0,198
2021-12-13,0,0,213
2021-12-14,0,0,220
2021-12-15,0,0,224
2021-12-16,0,0,218
2021-12-17,0,0,215
2021-12-18,0,0,266
2021-12-19,0,0,301
2021-12-20,0,0,348
2021-12-21,0,0,424
2021-12-22,0,0,471
2021-12-23,0,0,483
2021-12-24,0,0,462
2021-12-25,0,0,583
2021-12-26,0,0,733
2021-12-27,0,0,887
2021-12-28,0,0,1042
2021-12-29,0,0,1169
2021-12-30,0,0,1140
2021-12-31,0,0,1176
2022-01-01,0,0,1124
2022-01-02,0,0,1215
2022-01-03,0,0,1287
2022-01-04,0,0,1331
2022-01-05,0,0,1385
2022-01-06,0,0,1398
2022-01-07,0,0,1471
2022-01-08,0,0,1579
2022-01-09,0,0,1588
2022-01-10,0,0,1584
2022-01-11,0,0,1566
2022-01-12,0,0,1591
2022-01-13,0,0,1688
2022-01-14,0,0,1638
2022-01-15,0,0,1737
2022-01-16,0,0,1793
2022-01-17,0,0,1915
2022-01-18,0,0,2086
2022-01-19,0,0,2232
2022-01-20,0,0,2388
2022-01-21,0,0,2540
2022-01-22,0,0,2545
2022-01-23,0,0,2666
2022-01-24,0,0,2722
2022-01-25,0,0,2714
2022-01-26,0,0,2772
2022-01-27,0,0,2735
2022-01-28,0,0,3058
2022-01-29,0,0,2883
2022-01-30,0,0,2768
2022-01-31,0,0,2686
2022-02-01,0,0,2665
2022-02-02,0,0,2581
2022-02-03,0,0,2625
2022-02-04,0,0,2256
2022-02-05,0,0,2158
2022-02-06,0,0,2035
2022-02-07,0,0,1913
2022-02-08,0,0,1714
2022-02-09,0,0,1525
2022-02-10,0,0,1320
2022-02-11,0,0,1185
2022-02-12,0,0,1140
2022-02-13,0,0,1052
2022-02-14,0,0,951
2022-02-15,0,0,888
2022-02-16,0,0,843
2022-02-17,0,0,878
2022-02-18,0,0,1026
2022-02-19,0,0,1035
2022-02-20,0,0,978
2022-02-21,0,0,957
2022-02-22,0,0,899
2022-02-23,0,0,824
2022-02-24,0,0,695
2022-02-25,0,0,580
2022-02-26,0,0,555
2022-02-27,0,0,537
2022-02-28,0,0,474
2022-03-01,0,0,478
2022-03-02,0,0,514
2022-03-03,0,0,575
2022-03-04,0,0,603
2022-03-05,0,0,585
2022-03-06,0,0,617
2022-03-07,0,0,654
2022-03-08,0,0,661
2022-03-09,0,0,641
2022-03-10,0,0,666
2022-03-11,0,0,582
2022-03-12,0,0,559
2022-03-13,0,0,552
2022-03-14,0,0,545
2022-03-15,0,0,539
2022-03-16,0,0,533
2022-03-17,0,0,522
2022-03-18,0,0,506
2022-03-19,0,0,535
2022-03-20,0,0,532
2022-03-21,0,0,535
2022-03-22,0,0,532
2022-03-23,0,0,511
2022-03-24,0,0,529
2022-03-25,0,0,547
2022-03-26,0,0,513
2022-03-27,0,0,501
2022-03-28,0,0,487
2022-03-29,0,0,471
2022-03-30,0,0,455
2022-03-31,0,0,426
2022-04-01,0,0,452
2022-04-02,0,0,467
2022-04-03,0,0,456
2022-04-04,0,0,444
2022-04-05,0,0,430
2022-04-06,0,0,425
2022-04-07,0,0,422
2022-04-08,0,0,422
2022-04-09,0,0,428
2022-04-10,0,0,436
2022-04-11,0,0,442
2022-04-12,0,0,463
2022-04-13,0,0,456
2022-04-14,0,0,426
2022-04-15,0,0,416
2022-04-16,0,0,435
2022-04-17,0,0,442
2022-04-18,0,0,456
2022-04-19,0,0,449
2022-04-20,0,0,460
2022-04-21,0,0,489
2022-04-22,0,0,555
2022-04-23,0,0,475
2022-04-24,0,0,420
2022-04-25,0,0,421
2022-04-26,0,0,445
2022-04-27,0,0,459
2022-04-28,0,0,486
2022-04-29,0,0,444
2022-04-30,0,0,486
2022-05-01,0,0,543
2022-05-02,0,0,559
2022-05-03,0,0,567
2022-05-04,0,0,572
2022-05-05,0,0,614
2022-05-06,0,0,681
2022-05-07,0,0,681
2022-05-08,0,0,744
2022-05-09,0,0,819
2022-05-10,0,0,917
2022-05-11,0,0,1142
2022-05-12,0,0,1502
2022-05-13,0,0,3402
2022-05-14,NaN,NaN,NaN
2022-05-14,NaN,NaN,NaN
2022-05-15,NaN,NaN,NaN
2022-05-15,NaN,NaN,NaN
2022-05-16,NaN,NaN,NaN
2022-05-16,NaN,NaN,NaN
2022-05-17,NaN,NaN,NaN
2022-05-17,NaN,NaN,NaN
2022-05-18,NaN,NaN,NaN
2022-05-18,NaN,NaN,NaN
2022-05-19,NaN,NaN,NaN
2022-05-19,NaN,NaN,NaN
2022-05-20,NaN,NaN,NaN
2022-05-20,NaN,NaN,NaN
2022-05-21,NaN,NaN,NaN
2022-05-21,NaN,NaN,NaN
2022-05-22,NaN,NaN,NaN
2022-05-22,NaN,NaN,NaN
2022-05-23,NaN,NaN,NaN
2022-05-23,NaN,NaN,NaN
2022-05-24,NaN,NaN,NaN
2022-05-24,NaN,NaN,NaN
2022-05-25,NaN,NaN,NaN
2022-05-25,NaN,NaN,NaN
2022-05-26,NaN,NaN,NaN
2022-05-26,NaN,NaN,NaN
