date,estimatedCases,estimatedCasesCILower,estimatedCasesCIUpper
2021-12-09,0.0000,0.0000,0.0004
2021-12-10,0.0000,0.0000,0.0004
2021-12-11,0.0000,0.0000,0.0004
2021-12-12,0.0000,0.0000,0.0004
2021-12-13,0.0000,0.0000,0.0004
2021-12-14,0.0000,0.0000,0.0004
2021-12-15,0.0000,0.0000,0.0004
2021-12-16,0.0000,0.0000,0.0004
2021-12-17,0.0000,0.0000,0.0004
2021-12-18,0.0000,0.0000,0.0004
2021-12-19,0.0000,0.0000,0.0004
2021-12-20,0.0000,0.0000,0.0004
2021-12-21,0.0000,0.0000,0.0004
2021-12-22,0.0000,0.0000,0.0005
2021-12-23,0.0000,0.0000,0.0005
2021-12-24,0.0000,0.0000,0.0005
2021-12-25,0.0000,0.0000,0.0005
2021-12-26,0.0000,0.0000,0.0005
2021-12-27,0.0000,0.0000,0.0004
2021-12-28,0.0000,0.0000,0.0004
2021-12-29,0.0000,0.0000,0.0004
2021-12-30,0.0000,0.0000,0.0004
2021-12-31,0.0000,0.0000,0.0004
2022-01-01,0.0000,0.0000,0.0003
2022-01-02,0.0000,0.0000,0.0003
2022-01-03,0.0000,0.0000,0.0003
2022-01-04,0.0000,0.0000,0.0003
2022-01-05,0.0000,0.0000,0.0003
2022-01-06,0.0000,0.0000,0.0004
2022-01-07,0.0000,0.0000,0.0004
2022-01-08,0.0000,0.0000,0.0004
2022-01-09,0.0000,0.0000,0.0004
2022-01-10,0.0000,0.0000,0.0004
2022-01-11,0.0000,0.0000,0.0004
2022-01-12,0.0000,0.0000,0.0004
2022-01-13,0.0000,0.0000,0.0004
2022-01-14,0.0000,0.0000,0.0004
2022-01-15,0.0000,0.0000,0.0004
2022-01-16,0.0000,0.0000,0.0004
2022-01-17,0.0000,0.0000,0.0004
2022-01-18,0.0000,0.0000,0.0004
2022-01-19,0.0000,0.0000,0.0004
2022-01-20,0.0000,0.0000,0.0004
2022-01-21,0.0000,0.0000,0.0004
2022-01-22,0.0000,0.0000,0.0004
2022-01-23,0.0000,0.0000,0.0004
2022-01-24,0.0000,0.0000,0.0004
2022-01-25,0.0000,0.0000,0.0004
2022-01-26,0.0000,0.0000,0.0004
2022-01-27,0.0000,0.0000,0.0004
2022-01-28,0.0000,0.0000,0.0004
2022-01-29,0.0000,0.0000,0.0004
2022-01-30,0.0000,0.0000,0.0004
2022-01-31,0.0000,0.0000,0.0004
2022-02-01,0.0000,0.0000,0.0004
2022-02-02,0.0000,0.0000,0.0004
2022-02-03,0.0000,0.0000,0.0004
2022-02-04,0.0000,0.0000,0.0004
2022-02-05,0.0000,0.0000,0.0003
2022-02-06,0.0000,0.0000,0.0004
2022-02-07,0.0000,0.0000,0.0004
2022-02-08,0.0000,0.0000,0.0004
2022-02-09,0.0000,0.0000,0.0004
2022-02-10,0.0000,0.0000,0.0004
2022-02-11,0.0000,0.0000,0.0004
2022-02-12,0.0000,0.0000,0.0004
2022-02-13,0.0000,0.0000,0.0004
2022-02-14,0.0000,0.0000,0.0004
2022-02-15,0.0000,0.0000,0.0004
2022-02-16,0.0000,0.0000,0.0004
2022-02-17,0.0000,0.0000,0.0004
2022-02-18,0.0000,0.0000,0.0004
2022-02-19,0.0000,0.0000,0.0004
2022-02-20,0.0000,0.0000,0.0004
2022-02-21,0.0000,0.0000,0.0004
2022-02-22,0.0000,0.0000,0.0004
2022-02-23,0.0000,0.0000,0.0004
2022-02-24,0.0000,0.0000,0.0005
2022-02-25,0.0000,0.0000,0.0005
2022-02-26,0.0000,0.0000,0.0006
2022-02-27,0.0000,0.0000,0.0006
2022-02-28,0.0000,0.0000,0.0005
2022-03-01,0.0000,0.0000,0.0005
2022-03-02,0.0000,0.0000,0.0005
2022-03-03,0.0000,0.0000,0.0004
2022-03-04,0.0000,0.0000,0.0004
2022-03-05,0.0000,0.0000,0.0004
2022-03-06,0.0000,0.0000,0.0003
2022-03-07,0.0000,0.0000,0.0004
2022-03-08,0.0000,0.0000,0.0004
2022-03-09,0.0000,0.0000,0.0004
2022-03-10,0.0000,0.0000,0.0004
2022-03-11,0.0000,0.0000,0.0004
2022-03-12,0.0000,0.0000,0.0004
